,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Att,Yds,TD,Rec,Yds.1,TD.1,College/Univ,PFR_URL,Height,Weight
611,2001,7,245,Andre King,WR,27.0,CLE,2001.0,2004.0,0,0,0,2.0,42.0,3.0,,,,30.0,327.0,0.0,Miami (FL),http://www.pro-football-reference.com/players/K/KingAn00.htm,71,195
612,2000,1,4,Peter Warrick,WR,23.0,CIN,2000.0,2005.0,0,0,4,27.0,79.0,60.0,53.0,360.0,2.0,275.0,2991.0,18.0,Florida St.,http://www.pro-football-reference.com/players/W/WarrPe00.htm,71,195
613,2000,1,8,Plaxico Burress,WR,23.0,PIT,2000.0,2012.0,0,0,9,69.0,148.0,138.0,1.0,-7.0,0.0,553.0,8499.0,64.0,Michigan St.,http://www.pro-football-reference.com/players/B/BurrPl00.htm,77,232
614,2000,1,10,Travis Taylor,WR,22.0,BAL,2000.0,2007.0,0,0,6,32.0,101.0,90.0,32.0,232.0,0.0,312.0,4017.0,22.0,Florida,http://www.pro-football-reference.com/players/T/TaylTr01.htm,73,200
615,2000,1,21,Sylvester Morris,WR,22.0,KAN,2000.0,2000.0,0,0,1,6.0,15.0,14.0,,,,48.0,678.0,3.0,Jackson St.,http://www.pro-football-reference.com/players/M/MorrSy00.htm,75,206
616,2000,1,29,R. Jay Soward,WR,22.0,JAX,2000.0,2000.0,0,0,0,2.0,13.0,2.0,3.0,28.0,0.0,14.0,154.0,1.0,USC,http://www.pro-football-reference.com/players/S/SowaR.00.htm,71,178
617,2000,2,32,Dennis Northcutt,WR,22.0,CLE,2000.0,2009.0,0,0,2,41.0,144.0,61.0,52.0,366.0,1.0,399.0,4941.0,18.0,Arizona,http://www.pro-football-reference.com/players/N/NortDe00.htm,71,175
618,2000,2,36,Todd Pinkston,WR,23.0,PHI,2000.0,2004.0,0,0,4,27.0,78.0,62.0,3.0,-21.0,0.0,184.0,2816.0,14.0,Southern Miss,http://www.pro-football-reference.com/players/P/PinkTo00.htm,74,174
619,2000,2,47,Jerry Porter,WR,22.0,OAK,2000.0,2008.0,0,0,4,34.0,115.0,68.0,9.0,17.0,0.0,295.0,4120.0,31.0,West Virginia,http://www.pro-football-reference.com/players/P/PortJe00.htm,74,220
620,2000,3,66,Ron Dugans,WR,23.0,CIN,2000.0,2002.0,0,0,0,6.0,46.0,13.0,,,,89.0,797.0,3.0,Florida St.,http://www.pro-football-reference.com/players/D/DugaRo00.htm,74,205
621,2000,3,69,Dez White,WR,21.0,CHI,2000.0,2005.0,0,0,3,18.0,82.0,49.0,8.0,38.0,0.0,187.0,2149.0,11.0,Georgia Tech,http://www.pro-football-reference.com/players/W/WhitDe00.htm,73,215
622,2000,3,70,Chris Cole,WR,22.0,DEN,2000.0,2003.0,0,0,0,1.0,35.0,2.0,2.0,8.0,0.0,12.0,164.0,0.0,Texas A&M,http://www.pro-football-reference.com/players/C/ColeCh00.htm,72,195
623,2000,3,73,Ron Dixon,WR,24.0,NYG,2000.0,2002.0,0,0,0,6.0,37.0,3.0,3.0,13.0,0.0,36.0,696.0,4.0,Lambuth,http://www.pro-football-reference.com/players/D/DixoRo00.htm,72,190
624,2000,3,78,Laveranues Coles,WR,22.0,NYJ,2000.0,2009.0,0,1,9,67.0,153.0,138.0,37.0,231.0,0.0,674.0,8609.0,49.0,Florida St.,http://www.pro-football-reference.com/players/C/ColeLa00.htm,71,200
625,2000,3,79,JaJuan Dawson,WR,22.0,CLE,2000.0,2002.0,0,0,0,5.0,30.0,4.0,,,,52.0,664.0,2.0,Tulane,http://www.pro-football-reference.com/players/D/DawsJa00.htm,73,197
626,2000,3,80,Darrell Jackson,WR,21.0,SEA,2000.0,2008.0,0,0,6,57.0,123.0,106.0,6.0,18.0,0.0,499.0,7132.0,51.0,Florida,http://www.pro-football-reference.com/players/J/JackDa00.htm,72,201
627,2000,4,99,Gari Scott,WR,22.0,PHI,2001.0,2001.0,0,0,0,0.0,3.0,0.0,,,,2.0,26.0,0.0,Michigan St.,http://www.pro-football-reference.com/players/S/ScotGa00.htm,72,191
